id,pid,ms_subclass,ms_zoning,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,exter_qual,exter_cond,foundation,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice
109,533352170,60,RL,13517,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,Gd,TA,CBlock,GasA,Ex,Y,SBrkr,725,754,0,1479,2,1,3,1,Gd,6,Typ,0,Y,0,44,0,0,0,0,0,3,2010,WD ,130500
544,531379050,60,RL,11492,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,913,1209,0,2122,2,1,4,1,Gd,8,Typ,1,Y,0,74,0,0,0,0,0,4,2009,WD ,220000
153,535304180,20,RL,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,3,1,Gd,5,Typ,0,Y,0,52,0,0,0,0,0,1,2010,WD ,109000
318,916386060,60,RL,9802,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Gd,Y,SBrkr,744,700,0,1444,2,1,3,1,TA,7,Typ,0,Y,100,0,0,0,0,0,0,4,2010,WD ,174000
255,906425045,50,RL,14235,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,TA,TA,PConc,GasA,TA,Y,SBrkr,831,614,0,1445,2,0,3,1,TA,6,Typ,0,N,0,59,0,0,0,0,0,3,2010,WD ,138500
138,535126040,20,RL,16492,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,Gd,TA,CBlock,GasA,Ex,Y,SBrkr,1888,0,0,1888,2,1,2,1,Gd,6,Mod,1,Y,0,0,0,0,0,0,0,6,2010,WD ,190000
2827,908186070,180,RM,3675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Gd,Y,SBrkr,1072,0,0,1072,2,0,2,1,TA,5,Typ,0,Y,0,44,0,0,0,0,0,6,2006,New,140000
145,535154050,20,RL,12160,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,Fa,Y,SBrkr,1188,0,0,1188,1,0,3,1,TA,6,Typ,0,Y,0,0,0,0,0,0,0,5,2010,COD,142000
1942,535353130,20,RL,15783,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,TA,Y,SBrkr,924,0,0,924,1,0,2,1,TA,6,Typ,0,Y,0,324,0,0,0,0,400,6,2007,WD ,112500
1956,535426130,60,RL,11606,Pave,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,TA,TA,PConc,GasA,TA,Y,SBrkr,1040,1040,0,2080,1,2,5,1,Fa,9,Typ,2,Y,335,0,0,0,0,0,0,9,2007,WD ,135000
